ID,roi,roi_areas,cal,stage,focus,genotype,Al_measure,Si_measure,P_measure,S_measure,Cl_measure,Ar_measure,K_measure,Ca_measure,Sc_measure,Ti_measure,V_measure,Cr_measure,Mn_measure,Fe_measure,Co_measure,Ni_measure,Cu_measure,Zn_measure
2_0091,1,23802,downstream,stage9-13_oocyte,focus,KO,1354336.18,-1549736.319,5481569.419,-484061.274,-51061.71654,-3020.23578,5251601.874,293877.8195,0,-946.1295,0,4280.268436,5330.776847,173323.0055,2185.968539,-457.6542403,18801.67584,378512.7355
2_0091,2,37854,downstream,stage9-13_oocyte,cell,KO,2235770.802,-2455710.113,6850653.769,582308.082,111661.7292,-24010.7922,9198105.606,480332.0558,0,-1553.702288,0,4684.549847,5758.44133,197330.9071,3259.066628,-733.031808,19992.5901,406364.965
2_0092,1,5292.99,downstream,stage9-13_oocyte,focus,KO,548573.9524,-259914.9204,930953.4705,60207.76125,2625.32304,1977.196414,2255935.854,22364.25893,0,-156.2649438,0,387.719457,1062.20729,37831.35703,832.9403694,-99.33015582,5113.069625,112667.0779
2_0092,2,26383,downstream,stage9-13_oocyte,cell,KO,1162134.214,-796030.5143,3942391.375,1101543.016,133265.8096,-43212.18804,5643270.934,305577.4039,0,-1463.306712,0,876.0633448,2116.520771,96279.36054,1214.31715,-597.1836637,7656.499621,187920.9142
2_0093,1,8275,downstream,stage9-13_oocyte,focus,KO,703974.9375,-1092546.595,1292705.109,99192.425,-9157.85975,723.31775,3078364.545,99720.45275,0,301.21993,0,336.863665,3452.35317,54103.42461,1203.412563,-127.0236498,10394.2035,216628.5886
2_0093,2,38486,downstream,stage9-13_oocyte,cell,KO,1730184.313,-5008348.67,5970530.998,1279428.584,263113.3876,-64596.44184,8269748.525,706649.5281,0,1189.502196,0,412.3697928,4784.456365,151551.641,2006.286726,-762.5833871,13811.85953,325006.2418
2_0094,1,8987.01,downstream,stage9-13_oocyte,focus,KO,167835.1079,-70073.51437,1583724.154,-1976306.408,-95135.58916,-3904.316624,492209.5507,236260.4046,0,-1170.871699,0,-775.5870513,5460.363484,74474.76771,362.4577964,-339.3477002,16627.37587,296366.7587
2_0094,2,52888,downstream,stage9-13_oocyte,cell,KO,-1549057.787,-520227.5232,4176634.114,-14147540,-614082.568,-11011.81048,-4874316.744,473469.2424,0,-8353.416315,0,-6482.408117,2109.808096,155323.8584,-2898.468663,-2346.060908,18223.80856,384887.5014
2_0095,1,20038,downstream,stage9-13_oocyte,focus,KO,1804702.432,-546472.3284,3936939.8,-3943578.59,-138356.3786,39622.33968,9734921.274,88233.92654,0,-3308.059393,0,174.210372,5211.521112,119497.0939,4721.127131,-694.607251,18799.69769,343623.6728
2_0095,2,41721,downstream,stage9-13_oocyte,cell,KO,2949090.606,-1245234.171,6634502.207,-8623230.048,196902.2595,45648.19773,16974856.39,19396.51011,0,-7334.330679,0,-531.1458789,5190.338554,192247.1972,7163.942115,-1446.237604,20774.8593,418837.1732
2_0096,1,30072.8,downstream,stage9-13_oocyte,focus,KO,4350556.794,407805.2117,8007048.1,3169889.644,-46845.30274,59882.76373,18680573.79,272378.9729,0,-2439.89949,0,1978.573716,6099.440478,169479.1378,5999.144683,-1125.910596,18707.77764,384569.6582
2_0096,2,37674.8,downstream,stage9-13_oocyte,cell,KO,5005002.993,469141.6795,9042610.932,4283933.693,32034.12894,54340.62453,21581233.08,322598.7635,0,-3277.123641,0,2043.209893,6259.536158,181918.3778,6480.871841,-1410.525675,18895.56989,397968.576
2_0097,1,17343,downstream,stage9-13_oocyte,focus,KO,1363203.158,142908.0543,4339000.598,1078110.252,-32285.90223,11634.37812,5537009.426,115921.1323,0,-1124.145511,0,581.4188721,5255.763198,95946.4361,1564.869296,-453.3614553,16358.29915,283225.6003
2_0097,2,31930,downstream,stage9-13_oocyte,cell,KO,1920704.448,235320.907,6707421.11,1465267.7,26329.478,4791.7351,8089075.954,165514.2638,0,-2138.952384,0,578.38002,5371.012353,150860.5012,1893.423456,-874.5440497,17666.13461,334467.7366
2_0098,1,48024,downstream,stage14_oocyte,cell,KO,877336.0488,-1079646.754,5117496.99,3345443.086,29644.73496,-47527.91208,3195334.469,452416.3351,0,-1114.051147,0,3612.850322,4736.525479,189588.4845,252.2268504,-1185.235682,22536.64509,319358.9805
2_0099,1,10356,downstream,stage9-13_oocyte,focus,KO,350023.4796,-1385386.327,1305816.933,915598.8144,17771.82804,-10814.87436,1185390.22,321202.2138,0,386.1835248,0,80.2155048,3112.171657,45949.65795,341.292336,-40.4412156,7769.056702,180503.044
2_0099,2,11518,downstream,stage9-13_oocyte,focus,KO,418342.9744,-1515767.648,1331939.101,970810.7552,6290.32534,-10938.52942,1288646.51,222622.7835,0,311.7254556,0,157.0318048,5376.898413,69101.53034,656.716047,-100.0257674,15592.38423,303122.7006
2_0099,3,34041.1,downstream,stage9-13_oocyte,cell,KO,1444081.332,-4512661.826,5160078.954,3383426.628,19548.7825,-28514.86783,5236409.653,573434.2439,0,362.0134821,0,1784.100859,7007.656593,204331.3045,972.9320832,-353.6366482,21814.98703,436066.6067
2_0099,4,29617,downstream,stage9-13_oocyte,cell,KO,1041618.043,-3938954.379,4226339.68,2633377.785,47250.36946,-28854.36225,3725940.03,676515.9565,0,741.9325053,0,64.7990343,4550.021208,125438.3106,348.6098602,-225.7161919,11595.84331,288508.1828
2_0099,5,45255.1,downstream,stage9-13_oocyte,cell,KO,1113089.914,-5889435.357,5763634.777,2992828.375,13014.00911,-39016.68446,4276339.945,625862.1937,0,-65.13566543,0,-79.85262395,7280.536401,188547.1513,368.0054222,-715.451905,19907.97192,425125.6582
2_0099,6,5275.01,downstream,stage1-8_oocyte,cell,KO,138336.6097,-661334.3337,816185.3645,497957.779,9068.427941,-4924.169085,539423.0501,134002.9253,0,290.8366213,0,103.5975039,210.0187206,13921.53367,42.77663859,-13.46077052,644.2348613,20053.81245
2_0099,7,4631.01,downstream,stage1-8_oocyte,cell,KO,104935.4449,-522273.7303,708506.5094,473244.7643,10389.25414,-3817.897264,409562.3565,104000.2124,0,160.3635405,0,6.428304981,171.4219293,9287.853163,3.912277248,-32.25174294,471.6479921,15681.44919
2_0099,8,1502,downstream,stage1-8_oocyte,cell,KO,16287.2374,-110168.0952,147436.9058,117773.9228,2216.69666,-982.18784,79611.4072,21834.9495,0,91.0554456,0,22.1896468,50.0960558,1430.171807,19.0199762,8.245229,103.3775532,3167.963427
2_0105,1,7164,downstream,stage9-13_oocyte,focus,KO,77728.6836,-53436.276,1069326.078,-274517.316,-41188.27176,-6626.3418,169113.384,209227.4856,0,-420.533964,0,-377.779212,1771.906507,49779.82771,243.8460828,-360.248904,6829.412544,163891.5236
2_0105,2,24687,downstream,stage9-13_oocyte,cell,KO,291393.0045,-202539.5541,3986699.433,-410495.436,-133603.0816,-22676.73759,1018857.177,426522.2364,0,-2411.14226,0,-1748.496274,1946.984692,130908.9399,-292.3286418,-1534.425916,9296.951391,264950.6872
2_0106,1,3649,downstream,stage9-13_oocyte,focus,KO,55719.8651,-86305.0533,625306.1778,-42459.764,-15294.7835,-561.03375,131466.172,145348.2816,0,79.106671,0,9.337791,489.0138019,26037.88468,122.2765304,-121.1296497,2561.397305,64864.58532
2_0106,2,17774,downstream,stage9-13_oocyte,cell,KO,267175.2132,-439643.4448,2610906.576,-31371.11,-66147.89614,-5393.16482,731400.1,550353.425,0,-424.8892474,0,-388.3494582,902.8321074,65157.91989,-398.1073842,-805.5582047,4222.729146,124068.197
2_0106,3,7168,downstream,stage1-8_oocyte,cell,KO,57098.1376,-189665.9968,794219.4893,-183464.96,-26124.63616,-1920.52224,225806.336,110257.8893,0,-304.2873344,0,-131.3636352,137.478656,16146.57946,-240.8182784,-292.038656,758.725632,25084.12498
2_0106,4,3281,downstream,stage1-8_oocyte,cell,KO,12971.1054,-79084.8959,374085.5445,-108692.968,-15615.78826,40.12663,84351.229,18918.5741,0,-124.5477443,0,9.8082214,80.5268954,7134.081722,-33.1948613,-128.0708821,281.493395,12011.57498
