Food_TPEN,Male_TPEN,Male_Zn,Female_TPEN,Female_Zn,Day1_egg,Day1_hatch,Day2_egg,Day2_hatch,Day3_egg,Day3_hatch,Mean_hatch,Mean_egg
50,50,50,0,0,29,0.827586207,35,1,22,0.863636364,0.906976744,28.66666667
50,50,50,50,50,35,0.8,24,1,23,0.869565217,0.87804878,27.33333333
50,50,50,50,50,30,0.833333333,32,0.9375,9,0.777777778,0.873239437,23.66666667
50,50,50,50,50,30,1,16,1,37,0.972972973,0.987951807,27.66666667
50,50,50,50,50,38,0.894736842,34,0.911764706,35,0.885714286,0.897196262,35.66666667
50,50,50,50,50,30,0.966666667,26,1,33,1,0.988764045,29.66666667
50,50,50,50,50,29,1,28,1,30,0.933333333,0.977011494,29
50,50,50,50,50,22,0.954545455,34,0.970588235,22,0.818181818,0.923076923,26
50,50,50,50,50,38,0.894736842,31,1,26,0.961538462,0.947368421,31.66666667
50,50,50,50,50,35,0.971428571,25,1,27,0.814814815,0.931034483,29
50,50,50,50,50,24,0.875,30,1,17,0.941176471,0.943661972,23.66666667
100,0,0,0,0,25,0.88,32,0.9375,23,0.869565217,0.9,26.66666667
100,0,0,0,0,24,0.958333333,26,0.961538462,16,0.9375,0.954545455,22
100,0,0,0,0,26,0.961538462,20,0.95,17,1,0.968253968,21
100,0,0,0,0,16,1,28,0.928571429,12,0.916666667,0.946428571,18.66666667
100,0,0,0,0,8,0,4,0,8,0,0,6.666666667
100,0,0,100,0,20,0,7,0,7,0,0,11.33333333
100,0,0,100,0,22,0,14,0,4,0,0,13.33333333
100,0,0,100,0,14,1,7,0,6,0,0.518518519,9
100,0,0,100,0,19,0.052631579,11,0,0,,0.033333333,10
100,0,0,100,0,17,0.235294118,6,0,3,0,0.153846154,8.666666667
100,100,0,0,0,15,0.8,22,0.863636364,21,0.857142857,0.844827586,19.33333333
100,100,0,0,0,14,1,20,0.9,25,0.84,0.898305085,19.66666667
100,100,0,0,0,12,0.833333333,15,0.866666667,19,0.894736842,0.869565217,15.33333333
100,100,0,0,0,29,0.896551724,18,0.888888889,15,0.866666667,0.887096774,20.66666667
100,100,0,0,0,31,0.870967742,19,0.736842105,22,0.863636364,0.833333333,24
100,100,0,100,0,14,0.142857143,8,0,3,0,0.08,8.333333333
100,100,0,100,0,9,0.111111111,7,0.142857143,4,0,0.1,6.666666667
100,100,0,100,0,12,0,7,0,5,0,0,8
100,100,0,100,0,10,0,6,0,6,0,0,7.333333333
100,100,0,100,0,3,0,0,,9,0,0,4
100,0,0,100,100,33,0.878787879,31,0.870967742,19,0.947368421,0.891566265,27.66666667
100,0,0,100,100,31,0.903225806,25,0.92,20,1,0.934210526,25.33333333
100,0,0,100,100,31,0.870967742,25,0.76,26,0.884615385,0.841463415,27.33333333
100,0,0,100,100,19,1,24,0.958333333,22,0.818181818,0.923076923,21.66666667
100,0,0,100,100,26,0.923076923,28,0.928571429,21,0.857142857,0.906666667,25
100,0,0,100,100,27,0.962962963,1,1,46,1,0.986486486,24.66666667
100,0,0,100,100,25,0.96,12,0.916666667,17,0.823529412,0.907407407,18
100,0,0,100,100,19,1,21,0.904761905,18,0.888888889,0.931034483,19.33333333
100,0,0,100,100,26,0.961538462,13,0.923076923,20,1,0.966101695,19.66666667
100,100,100,0,0,13,0.923076923,18,0.888888889,0,,0.903225806,10.33333333
100,100,100,0,0,21,0.952380952,25,0.92,19,0.789473684,0.892307692,21.66666667
100,100,100,0,0,19,0.684210526,21,0.857142857,17,0.941176471,0.824561404,19
100,100,100,0,0,23,1,20,0.9,20,0.85,0.920634921,21
100,100,100,0,0,24,0.875,20,0.75,16,1,0.866666667,20
100,100,100,0,0,24,0.958333333,18,1,23,0.956521739,0.969230769,21.66666667
100,100,100,0,0,19,1,31,1,27,0.925925926,0.974025974,25.66666667
